ProbNum,Nvars,NClauses,LitsPerClause,Result,ExecTime(us)
3,4,9,218,U,1,221
4,4,9,218,S,1,112,1,1,0,0
5,4,9,218,S,1,104,0,1,1,0
6,4,9,218,S,1,116,1,1,1,0
7,4,9,218,S,1,142,0,0,0,0
8,4,9,218,U,1,420
9,4,9,218,U,1,177
10,4,9,218,U,1,521
11,4,9,218,S,1,178,0,1,0,0
12,4,9,218,S,1,178,0,0,0,0
# Satisfied = 6. # Unsatisfied = 4
Max Sat Time = 178. Max Unsat Time = 521
Ave Sat Time = 83.0. Ave UnSat Time = 133.9
13,8,18,236,U,1,820
14,8,18,236,S,1,222,1,0,1,1,1,1,1,0
15,8,18,236,U,1,1080
16,8,18,236,U,1,1027
17,8,18,236,S,1,725,0,0,0,0,0,1,0,0
18,8,18,236,U,1,2195
19,8,18,236,S,1,488,1,1,0,1,1,1,0,0
20,8,18,236,U,1,401
21,8,18,236,U,1,776
22,8,18,236,S,1,660,1,1,0,1,0,1,1,0
# Satisfied = 4. # Unsatisfied = 6
Max Sat Time = 725. Max Unsat Time = 2195
Ave Sat Time = 209.5. Ave UnSat Time = 629.9
23,12,20,240,U,1,584
24,12,20,240,U,1,1215
25,12,20,240,S,1,393,0,1,1,1,0,1,1,0,1,0,0,0
26,12,20,240,U,1,4336
27,12,20,240,U,1,2012
28,12,20,240,S,1,1013,0,1,0,1,0,0,1,1,1,1,1,0
29,12,20,240,S,1,119,1,1,1,1,0,0,1,0,1,1,0,0
30,12,20,240,S,1,463,0,1,1,0,1,1,1,1,1,1,0,0
31,12,20,240,S,1,1197,0,0,0,1,1,0,1,0,1,0,1,0
32,12,20,240,S,1,583,1,1,1,0,0,0,1,0,0,1,0,0
# Satisfied = 6. # Unsatisfied = 4
Max Sat Time = 1197. Max Unsat Time = 4336
Ave Sat Time = 376.8. Ave UnSat Time = 814.7
33,16,30,260,S,1,3212,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0
34,16,30,260,S,1,238,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0
35,16,30,260,U,1,5051
36,16,30,260,S,1,2471,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
37,16,30,260,U,1,771
38,16,30,260,U,1,5883
39,16,30,260,S,1,1009,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0
40,16,30,260,U,1,10085
41,16,30,260,U,1,3715
42,16,30,260,U,1,11654
# Satisfied = 4. # Unsatisfied = 6
Max Sat Time = 3212. Max Unsat Time = 11654
Ave Sat Time = 693.0. Ave UnSat Time = 3715.9
43,18,32,264,U,1,3710
44,18,32,264,U,1,10126
45,18,32,264,U,1,2291
46,18,32,264,S,1,191,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0
47,18,32,264,S,1,901,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
48,18,32,264,S,1,1004,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0
49,18,32,264,U,1,3104
50,18,32,264,S,1,4667,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0
51,18,32,264,U,1,4800
52,18,32,264,U,1,1624
# Satisfied = 4. # Unsatisfied = 6
Max Sat Time = 4667. Max Unsat Time = 10126
Ave Sat Time = 676.3. Ave UnSat Time = 2565.5
53,20,33,266,S,1,302,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0
54,20,33,266,U,1,6857
55,20,33,266,S,1,530,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0
56,20,33,266,U,1,15669
57,20,33,266,U,1,7032
58,20,33,266,S,1,3792,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0
59,20,33,266,U,1,5074
60,20,33,266,S,1,270,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
61,20,33,266,S,1,6933,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0
62,20,33,266,S,1,3770,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
# Satisfied = 6. # Unsatisfied = 4
Max Sat Time = 6933. Max Unsat Time = 15669
Ave Sat Time = 1559.7. Ave UnSat Time = 3463.2
63,22,38,276,S,1,5011,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0
64,22,38,276,U,1,30705
65,22,38,276,U,1,128588
66,22,38,276,U,1,26287
